,1580_and_28111_and_47879,143393_and_147802_and_488,421767_and_425941_and_53408,28126_and_376806_and_671267,1547_and_511_and_56810,1010_and_41276_and_999468,191295_and_2173_and_285,1401_and_290588_and_481743,38286_and_38304_and_441500,157687_and_228604_and_29466,1888_and_67269_and_83617,28130_and_386414_and_76517,118748_and_1308_and_1613,1467_and_182710_and_28025,106648_and_329854_and_452084,29360_and_39483_and_84030,1223514_and_1532_and_38288,1311_and_1746653_and_28118,1280_and_1282_and_28446,137732_and_29461_and_310300,1844653_and_202611_and_28127,1267_and_1379_and_216935,1254_and_187452_and_2741,108980_and_79880_and_871324,1710_and_28091_and_41976,1144673_and_216778_and_40216,136857_and_310514_and_626932,225991_and_290309,370979_and_490189,1034636_and_1670_and_588,1113609_and_28454,271420_and_28090,28135_and_477666,1646377_and_34038_and_70775,184870_and_305719,38304_and_441500,41276_and_999468,143393_and_488,28126_and_671267,386414_and_76517,1535_and_28137_and_589437,421767_and_53408,153721_and_1611423_and_40214,39497_and_40681_and_585,196024_and_34087,179995_and_33935_and_38986,245_and_405446,13690_and_626931_and_88688,1467_and_28025,1453492_and_243924,106654_and_471,187491_and_33029,1661050_and_239974,1401_and_290588,1506_and_28125_and_901,43675_and_726_and_860,1260_and_1859290_and_36874,1661032_and_47877,1547_and_56810,351091_and_376804_and_93064,29552_and_35825_and_840,316_and_454155_and_53412,293_and_32013_and_80866,1844653_and_28127,67269_and_83617,33031_and_470_and_582,308892_and_40324_and_487698,1254_and_2741,102862_and_1408_and_584,1746653_and_28118,202956_and_29430,137732_and_29461,351091_and_376804,1710_and_41976,1487956_and_52787_and_818,76759_and_83263,1504_and_39489,191295_and_285,48296_and_487316,216778_and_40216,216947_and_423605,1223514_and_38288,199_and_28132_and_39778,1148157_and_52226_and_626930,1280_and_1282,1727_and_191493,1267_and_216935,79880_and_871324,52787_and_818,237258_and_328814_and_905,1827099_and_33034,1590_and_483012,179995_and_33935,29360_and_84030,79883_and_84032,208479_and_35833_and_358742,136857_and_626932,1646377_and_34038,1358_and_1515_and_46228,626931_and_88688,39497_and_40681,1510_and_29348_and_341225,316_and_454155,228604_and_29466,1670_and_588,33039_and_387661,28128_and_53363,43675_and_726,1691_and_28026_and_633701,284042_and_328812_and_387090,102862_and_584,153721_and_40214,1902_and_218538_and_309120,1260_and_1859290,251535_and_287_and_410072,470_and_582,293_and_32013,138595_and_1623,199_and_39778,589436_and_77095_and_839,29552_and_35825,1755626_and_291644_and_33043,308892_and_40324,166486_and_45254,1584_and_1630_and_39484,169435_and_214856_and_36848,1148157_and_626930,237258_and_328814,122355_and_1463864_and_317,189722_and_53440,78342_and_82135,261299_and_574375,1902_and_218538,60133_and_729,118748_and_1308,284042_and_387090,1691_and_28026,1755626_and_33043,589436_and_77095,251535_and_287,28116_and_40518_and_821,1264_and_1465754_and_69825,329854_and_452084,1535_and_589437,2139_and_44749_and_45851,294_and_39492_and_882211,122355_and_1463864,163202_and_310297_and_310298,28111_and_47879,29348_and_341225,1515_and_46228,1463837_and_301301_and_39485,29355_and_487175_and_817,1633_and_216816_and_40520,165179_and_187327_and_39029,1264_and_69825,46503_and_47678_and_57706,39492_and_882211,28116_and_821,397865_and_820_and_879,301301_and_39485,204516_and_2088_and_46506,310297_and_310298,163877_and_239935_and_454154,165179_and_187327,216816_and_40520,246787_and_328813,46503_and_47678,487175_and_817,397865_and_820,1113922_and_28117_and_823,1735_and_78346,239935_and_454154,1506_and_28125,204516_and_46506,33038_and_59310,1584_and_1630,169435_and_36848,28117_and_823,228603_and_28136,1582_and_1597,2139_and_45851,208479_and_358742,1303_and_28037
ERR1072724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.35047591592808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.07114370835443,0.0,-1.92414748697947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33272120870442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.060505582040401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51647752979725,-2.3631588383890296,0.0,-4.68490315045805,0.0,-2.11602594694874,0.0,0.0,0.0,0.0,0.0,4.09311117444525,-2.15939202161934,0.0,-3.6650644502492593,0.0,0.650682240896649,0.0,0.0,0.0,-3.7401766949035604,0.0,0.0,0.0,0.0,0.0
ERR1072851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2133619636254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83365537653977,0.0,-2.46243929921673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2650699767976805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8615343473499197,0.0,0.0,0.0,4.90701230687526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.95632287721351,0.0,0.0,-3.2647313125698503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654680506432,-5.56941793968581,0.0,0.0,0.0,0.0,0.0,0.0,-4.7680910291887,0.0,0.0,1.26469537519508,-3.17554844018055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.50021124028882,0.0,0.0,0.0,0.0,0.0
ERR1073081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2839611780615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59843774196503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8228862475822503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95593680291739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1821278857457598,0.0,0.0,-4.88938240479991,0.0,0.0,0.0,0.0,0.0,-2.30283083613971,0.0,-3.27618836086684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.77955636672451,0.0,0.0,0.0,0.0,-3.98862000943031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.30827055565555,-2.3376709245626297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04896481271898,0.0,0.0,5.73009268757953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1073129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0158553942574304,0.0,0.0,0.0,0.0,0.0,0.0,-2.6742551854228704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.22361477113453,0.0,0.0,-5.63009336036518,0.0,0.0,0.0,0.0,-5.18716173059658,4.63194585355693,0.0,0.0,0.0,0.0,-2.3008621429957996,0.0,0.0,0.0,0.0,0.0,-0.434710672172348,1.04295100786863,-2.59681347112972,3.9852101328805296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.497812869775981,-2.5109337895805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.34906489799489,0.0,0.0,0.0,0.0,0.0
ERR1073205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4868490754318904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51801801432498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30734894940372,-4.94301317478633,0.0,0.0,4.46888487384592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13605947489262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.43181434607179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78296976339862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82024502613435,-2.84230548760037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92301751515567,0.0,4.35690649859676,0.0,0.0,0.0
ERR1073206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8282184402794999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01660269169387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49285832069394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3817651098186001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.99374911515128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4532747649875097,0.0,0.0,-4.5085770530577305,0.0,3.1665672258984303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9779017326054196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0712791224735072,0.0,0.0,0.0,0.0,-3.16357923122698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.479479962254809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1200743526004397,0.0,0.0,0.0
ERR1073450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51523066091803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.550603848173781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34976906375572,0.0,0.0,-5.698840655039151,0.0,0.0,0.0,4.57602078475299,-2.7896539652916004,0.0,0.0,0.0,0.0,4.35650729746507,0.0,0.0,0.0,0.0,0.0,0.0,4.83182240342104,0.808014893248939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36604655679939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.09811284944994,0.0,0.0,0.0,0.0,0.0
ERR1073663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.71436848124246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.70142411997551,0.0,0.0,-3.1784716965122097,-2.52968417448698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5780075514107,0.0,0.0,-4.38154151731439,0.0,0.0,5.50527446877879,-2.8243298685134195,0.0,-5.648028961074309,0.0,-2.56571328698676,0.0,0.0,0.0,0.0,-4.46524006133957,4.89188282959957,-2.8828550526535697,0.0,-4.443945770715611,0.0,0.7428215693196399,0.0,0.0,0.0,4.99325142205264,0.0,0.0,0.0,0.0,0.0
ERR1073918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41532505564432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18346571317008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.84600013496111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46841847448091,0.0,0.0,-5.49950502422965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.70795097901859,0.0,0.0,-2.4134609398136697,0.0,0.0,0.0,0.423883843197788,-2.64098847752781,4.69030868006609,0.0,0.0,0.0,-4.1802369698402,0.0,5.19291582551567,0.0,0.0,4.57432622528215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1074869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9244876553904504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.49444504355472,0.0,0.0,-2.79317484676449,0.0,0.0,0.0,0.0,0.0,-2.8128195151594104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87194631277736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83792074901951,5.0653612052442405,0.0,0.0,0.0,-4.32050555212514,0.0,0.0,0.0,0.0,0.0,-2.70440609225587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.68416875608598,0.0,0.0,-3.08088473784458,0.0,0.0,0.0,0.0,-4.997345700714161,0.0,0.0,0.0,0.0,0.0,0.0,-2.92226736177757,0.0,0.0,0.0,0.0,0.22190325748558998,-5.33624889821033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.061515543899019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
